id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12778768,Digital nomad home(Singleroom&min.7nights),8187910,Min Jung,Terraferma,Piave 1860,45.48758,12.2414,Private room,75,2,28,2024-10-09,0.30,4,179,10,
12785633,appartamento Goldoni,4557370,Giovanna,Isole,Castello,45.43671,12.33997,Entire home/apt,115,3,9,2022-10-04,0.09,6,263,0,IT027042B4CY4DK9TH
12818221,"Luxury Apartment near St. Mark's Square,canal view",69921858,Corte Nova S.R.L,Isole,Castello,45.43702,12.34601,Entire home/apt,201,1,18,2024-09-01,0.22,8,287,4,IT027042B4JRSASCAT
12822904,Sunny apartment in Dorsoduro,69947115,Anna,Isole,Dorsoduro,45.43181,12.32577,Entire home/apt,,2,207,2021-09-27,1.99,1,0,0,
9104416,Zen bright flat in Castello area,47458448,Riccardo,Isole,Castello,45.43257,12.35525,Entire home/apt,,2,62,2018-09-30,0.57,2,0,0,
9124905,newcasa splendida biennale giardini 027042LOC00933,47537231,Nicoletta,Isole,Castello,45.43156,12.35625,Entire home/apt,91,2,155,2024-11-17,1.45,1,303,43,It027042c2mueds35t
9126717,Lagoon Suites #2,30572756,Valentina & Andrea,Isole,Murano,45.45433,12.35772,Entire home/apt,169,3,52,2019-09-21,0.48,3,1,0,IT027042B4D68NIS62
9161055,Residenza Tiziana with panoramic view,47687671,Roberta,Isole,Castello,45.43583,12.34129,Entire home/apt,135,2,385,2024-11-12,3.60,1,139,45,IT027042C2HRZIZSXK
9166645,Nice mini apartment,47708701,Max,Isole,Cannaregio,45.44708,12.31968,Entire home/apt,130,2,261,2024-10-25,2.40,1,309,31,IT027042C2VEHNN6YO
9194369,San Marco Suite with Canal View,47828661,Andrea,Isole,San Marco,45.43525,12.33377,Entire home/apt,221,2,419,2024-11-05,3.85,1,209,41,IT027042B4RKANPTWE
9196021,"""LA CORTE"" to Venice",47836560,Rosanna,Isole,Cannaregio,45.44571,12.33018,Entire home/apt,128,2,312,2024-11-17,2.87,1,256,24,IT027042C2SMY9OA33
9211208,Luminoso appartamento con ampio cortile privato,46954103,Fabio E Linda,Isole,Castello,45.43731,12.3488,Entire home/apt,,2,35,2024-11-20,0.32,1,0,11,IT027042C27Z83MDNF
9221588,Biennale 252 - 20 min from S. Marco,46904188,Mirco Optyflat,Isole,Castello,45.43177,12.35785,Entire home/apt,211,3,31,2024-11-02,0.29,16,217,6,
9221933,Cà Marin - vista canale e corte interna esclusiva,6019189,Federico,Isole,Santa Croce,45.43941,12.32544,Entire home/apt,116,3,128,2024-10-21,1.17,19,348,17,IT027042B4VJQ47JET
9226520,Ca' Novo - Luxury Accommodation,47967886,Barnaba,Isole,San Polo,45.43901,12.33468,Entire home/apt,159,2,201,2024-10-13,1.85,2,347,22,IT027042C268ZIC7C8
9233701,Nice and Quite Place.,47997199,Chiara Valentina,Terraferma,Piave 1860,45.48831,12.23463,Private room,,1,0,,,1,0,0,
9236574,very charming relaxing with view,19526057,Roberta,Isole,Castello,45.43333,12.35601,Entire home/apt,450,2,3,2023-05-24,0.04,21,365,0,
9242824,Da Enry e Simo Venezia C.I.N: IT027042c2YC84XFUV,36874382,Pina Enrico Simone,Isole,Cannaregio,45.44552,12.32967,Entire home/apt,114,2,398,2024-12-01,3.81,1,336,52,IT027042C2YC84XFUV
9244694,Venice Rainbow Apartment Purple Room San Marco,22623713,Rupu,Isole,Castello,45.43535,12.34463,Private room,130,1,23,2024-11-03,0.21,3,364,3,
9253183,RESIDENZA LEON D' ORO: FREE WIFI,3736168,EasyRentals,Isole,Cannaregio,45.44391,12.32344,Entire home/apt,116,2,130,2024-05-06,1.22,25,301,6,IT027042C25BH2ZWAE
9266518,Cosy double in Venice ( true venetian experience ),1232519,Natale(Nino),Isole,Cannaregio,45.4427467,12.3368416,Private room,,2,151,2024-10-13,1.62,1,0,13,IT027042B4ZKQFKTYI
9269272,"Venice centre, modern apartment",27266211,Giorgia,Isole,Cannaregio,45.44394,12.3198,Entire home/apt,134,2,159,2024-09-17,1.46,2,320,6,IT027042C2OKC46SGC
9304289,Appartamento Murano,48302390,Annamaria,Isole,Murano,45.45831,12.35182,Entire home/apt,100,2,77,2024-11-17,0.71,1,346,26,IT027042B4ONGXY9L6
9361240,Venice Center Historical Apartment,48482767,Marco,Isole,Castello,45.43918,12.34173,Entire home/apt,151,3,148,2024-10-28,1.36,1,89,14,IT027042C26A4JEY4P
9400256,"Palazzo Cavazza Foscari, Rialto, balcony on canal",43101354,Cristiana,Isole,Cannaregio,45.43851,12.33712,Entire home/apt,160,5,265,2024-11-10,2.50,1,311,36,IT027042C2TXIY8SUI
9458326,Cà Tentor appartamento a Rialto,49013797,Fabiana,Isole,Cannaregio,45.4391,12.33842,Entire home/apt,110,2,415,2024-11-17,3.79,1,303,55,IT027042C2PSZH3G8Y
9517420,Charming and Modern Venice Centre,49314019,Silena,Isole,Castello,45.43796,12.34514,Entire home/apt,129,3,66,2024-11-17,0.61,1,211,23,IT027042C2I7XLYQBW
9535987,Ca' Dell'Opera Luxury Apartment with  Terrace,669047,Views On Venice,Isole,Dorsoduro,45.42899,12.33164,Entire home/apt,721,1,128,2024-10-10,1.18,82,291,11,IT027042B4KBVJQLRP
9570457,KEY LOCATION! Near Palazzo Grassi and San Marco!,49546184,Antonio&Luisa,Isole,San Marco,45.43327,12.32915,Entire home/apt,267,5,148,2024-08-16,1.36,1,220,5,IT027042B4FE9P3VBX
9591517,Apartment with Garden in Venice Lido,49644607,Rosa,Isole,Lido,45.41465,12.36831,Entire home/apt,,5,2,2017-09-12,0.02,1,0,0,IP0270421072
9611106,Irene Apartment Suite modern Wi-fi & Park,44190482,Irene,Terraferma,Marghera,45.47527,12.22873,Entire home/apt,101,2,465,2024-11-17,4.24,2,129,80,IT027042B4WZTASZAC
9642040,A WEEK IN CENTRAL SAN MARCO SUITE,49471384,Omar,Isole,San Marco,45.43479,12.3377,Entire home/apt,100,7,6,2024-08-17,0.06,1,99,1,
9643656,Residenza 3B,5618111,Easy Suite,Isole,Santa Croce,45.44187,12.32669,Entire home/apt,86,1,164,2024-11-17,1.76,72,296,25,IT027042B4A6WYGFEP
9657046,ciprea,20983059,Ciprea,Isole,Castello,45.43222,12.35566,Entire home/apt,116,3,2,2023-01-07,0.03,3,19,0,IT027042C2HZ3GRD6X
9673914,Dimora Marciana San Marco Square Superior DBL,49986250,Dimora,Isole,San Marco,45.43339,12.33561,Private room,122,1,106,2024-12-02,0.97,2,338,18,
9675219,Ca' Nal - GONDOLA - S.Mark -Rialto,49990117,Alberta,Isole,San Marco,45.43687,12.33689,Entire home/apt,680,3,115,2024-11-03,1.07,6,348,12,IT027042B4BJNZWZU4
9676027,Venezia Comodo Plus Parking-Wifi,44190482,Irene,Terraferma,Marghera,45.47519,12.22833,Entire home/apt,107,2,298,2024-11-15,2.74,2,159,31,IT027042B4G36S9WW4
9696001,Dream of Venice,50072669,Linda,Isole,Castello,45.43136,12.35297,Entire home/apt,110,4,34,2024-10-25,0.34,1,158,3,IT027042C2EM2YNSSQ
9703606,Casa MIA-Venezia,50104909,Antonella,Isole,Giudecca,45.4259,12.32769,Entire home/apt,121,3,159,2024-10-14,1.48,1,139,17,IT027042C2JE96KUOS
9706549,Residence Laguna - Amazing view of lagoon,50118656,Valentino,Isole,Giudecca,45.42355,12.32688,Entire home/apt,130,2,428,2024-11-08,3.94,1,224,35,IT027042B4EDQR4OIZ
9706595,CASTELLO THE VENICE'S HEART,50118636,Calliope,Isole,Castello,45.43365,12.34826,Entire home/apt,150,2,205,2019-10-12,1.90,1,0,0,
9727843,Ca' Nal -BRAGOZZO- S.Mark - Rialto,49990117,Alberta,Isole,San Marco,45.43648,12.33799,Entire home/apt,460,2,31,2024-10-31,0.29,6,362,5,IT027042B4BJNZWZU4
9728717,Ca' Nal -SANPIEROTA- S.Mark - Rialto,49990117,Alberta,Isole,Castello,45.43682,12.33879,Entire home/apt,260,2,52,2024-10-20,0.50,6,361,5,IT027042B4BJNZWZU4
9741322,Ca' Nal - SANDOLO - S.Mark - Rialto,49990117,Alberta,Isole,San Marco,45.43697,12.33671,Entire home/apt,540,2,36,2024-10-04,0.34,6,347,4,IT027042B4BJNZWZU4
9741873,Ca'Nal-PUPPARIN with altana terrace S.Mark view,49990117,Alberta,Isole,San Marco,45.43544,12.33876,Entire home/apt,360,2,67,2024-10-28,0.64,6,357,5,IT027042B4BJNZWZU4
9743144,Tintoretto Canal View WiFi Free,50266229,Giulia,Isole,Cannaregio,45.44537,12.33219,Entire home/apt,101,2,403,2024-11-18,3.69,1,79,41,IT027042B4ESYT4MS8
9746346,Ve.N.I.Ce. Cera Casa Del Sol,37864680,Ve.N.I.Ce Immobiliare Cera,Isole,San Polo,45.43838,12.33281,Entire home/apt,380,1,115,2024-10-24,1.08,17,248,20,IT027042B48GSRLNXN
9747748,Ca' Navagero 1-Riva degli Schiavoni,50282865,Alberta,Isole,Castello,45.43466,12.34645,Entire home/apt,690,3,118,2024-11-02,1.11,3,351,9,IT027042B4N5HAB2KD
9763587,Villa Giotto - Suite Studio Apartment,13634695,Maura,Terraferma,San Lorenzo XXV Aprile,45.48944,12.24859,Entire home/apt,,2,0,,,8,0,0,
9764045,Luxury San Marco Apartment,50349340,Sebastiano,Isole,San Marco,45.43458,12.33636,Entire home/apt,154,1,848,2024-11-22,7.80,3,123,62,027042-LOC-10532
9770775,Tower Suite San Marco Apartment,50349340,Sebastiano,Isole,San Marco,45.43426,12.33661,Entire home/apt,154,1,866,2024-11-14,7.97,3,127,73,027042-LOC-10533
9782838,Romantic Escapade in Venice,26963742,Enrico,Isole,San Marco,45.43448,12.33286,Entire home/apt,110,3,140,2024-10-31,1.33,2,71,23,IT027042C2ASXCOR33
9793810,"Rialto twins house, Venezia centro",1729833,Alberto,Isole,San Polo,45.437336,12.332673,Entire home/apt,130,3,243,2024-11-18,2.23,3,155,58,IT027042C2NGNTALJN
9801176,"Ca' della Fava, Rialto San Marco Canal View Palace",37211726,Nicola,Isole,Castello,45.43653,12.33829,Entire home/apt,,3,1,2016-01-02,0.01,1,0,0,
9816247,Ca dei Zoti 2 - San Marco with luggages room,2825961,Maria Beatrice,Isole,San Marco,45.43402,12.32962,Entire home/apt,247,2,304,2024-11-10,2.82,2,166,38,027042-LOC-08474
9817138,Comfortable arrangement in Venice,50569236,Francesco,Isole,Giudecca,45.42674,12.32442,Entire home/apt,,3,0,,,1,0,0,
9821595,FEEL@HOME Venice BIENNALE,20319964,Marco,Isole,Castello,45.43395,12.35232,Entire home/apt,108,3,240,2024-11-03,2.31,1,30,17,IT027042C292FGHXDD
9823137,Corte Coppo Superior Apartment,193059,Oliva Nera,Isole,Castello,45.4371,12.34486,Entire home/apt,347,2,1,2018-05-27,0.01,3,300,0,IT027042B4VSN88PNF
9878614,Typical Apartment in San Marco 027042-LOC-00214,20806166,Giovanna,Isole,Castello,45.43595,12.34053,Entire home/apt,100,3,113,2024-11-21,1.07,4,75,40,M0270422374
9878674,Nice and cozy bedroom in Venice!,22583902,Federica,Isole,Giudecca,45.42651,12.3229,Private room,,1,0,,,1,0,0,
9889903,Feeling at home in Venice,49492029,Paolo,Isole,Castello,45.43835,12.34674,Entire home/apt,110,4,141,2024-10-28,1.34,1,346,16,IT027042C2UB3SPG3U
9892432,Nido d' amore a due ponti da Rialto,50885316,Francesca,Isole,San Polo,45.43662,12.32815,Entire home/apt,172,3,177,2024-11-16,1.91,1,339,41,IT027042C2MIRIUWBX
9899916,Ca' Terlotta,50914489,Andrea,Isole,San Marco,45.43555,12.33844,Entire home/apt,200,2,72,2024-08-16,1.04,1,130,8,IT027042C2HWFKJK25
9909921,be home in the heart of venice,50956593,Cristina,Isole,Santa Croce,45.44006,12.32741,Entire home/apt,200,4,158,2024-10-27,1.45,1,309,12,IT027042C2QZCDORLC
9917537,Adorable flat close to St. Barnaba,12497228,Lu,Isole,Dorsoduro,45.43275,12.32435,Entire home/apt,121,3,247,2024-10-23,2.34,3,243,43,IT027042B45S7Z2ILH
9917563,RESIDENZA LA PERLA,3736168,EasyRentals,Terraferma,Piave 1860,45.49125,12.23766,Entire home/apt,103,2,162,2024-10-29,1.52,25,20,10,IT027042B4LWLCOMZP
9921027,Sant'Aponal Flat near Rialto Bridge,399883,Monica,Isole,San Polo,45.43789,12.33217,Entire home/apt,194,3,145,2024-10-25,1.33,4,0,16,IT027042C2MC3EY2WC
9925743,"Apartment with Balcony, Rialto Bridge View",51021330,Francesco,Isole,San Marco,45.43795,12.33633,Entire home/apt,156,1,160,2024-10-17,1.54,3,186,17,M0270425621
